SL,title,company,location,salary,summary
0,Full Stack Developer,Arup,"Los Angeles, CA (Del Rey area)",,"Support and mentor junior developers.
We are looking for a Full Stack Software Developer with a wide range of knowledge and experience of producing software…"
1,Graduate Software Developer,Smarkets,"Santa Monica, CA",,"The Smarkets platform is used by tens of thousands daily through the app, website or REST API.
We are continuously developing new features for these platforms,…"
2,Web Developer,UCLA,"Los Angeles, CA",,"As a member of the IT Security team, the Web Developer is responsible for the design, development, testing, documentation and ongoing maintenance of web, API,…"
3,Aerospace Engineering Intern,M4 Engineering,"Long Beach, CA 90807 (Bixby Knolls area)",,"The successful candidate will have the opportunity to work with a dynamic team performing engineering research and analysis for Department of Defense, NASA, and…"
4,DEVELOPER,FOX VFX LAB,"Los Angeles, CA",,"Python required Familiarity with UE4 multiplayer and networking protocols is a plus.
Demonstrable ability to ship a product."
5,FULL STACK DEVELOPMENT OPPORTUNITY (FULL-TIME) – Work from H...,Performance,"Brea, CA 92821",,"Very competitive compensation and great benefits.
Significant Full Stack development experience.
Significant experience with all of the following: Python,…"
6,Software Developer,Millennium Engineering & Integration Company,"El Segundo, CA 90254",,You will support the development of virtualized software applications to emulate a satellite communications planning and management system.
7,GIS Developer,"E2 Consulting Engineers, Inc.","Los Angeles, CA 90001",,"GIS position please can you add some bullets for ability to customize per clients needs and also knowledge of python.
Design and produce RESTful APIs."
8,Full Stack Developer,TPIRC/ Southern California Food Allergy Institute,"Long Beach, CA",,"The Translational Pulmonary & Immunology Research Center (TPIRC) and the SoCal Food Allergy Institute is a unique biomedical database, research and software…"
9,Software developer II,Amazon.com Services LLC,"Manhattan Beach, CA",,"Scripting in either python, bash or ruby on linux.
2+ years of non-internship professional software development experience.
Experience in big data processing."
10,Software Developer,ShieldApps,"Los Angeles, CA 90036",,"Proven professional experience and profound knowledge of DOT NET / C# / C++ – a must!
Experience in GUI design and/or implementation of pre-made design onto new…"
11,Jr. Tools Programmer,"Operating Company ACTIVISION PUBLISHING, INC","Los Angeles, CA",,"Strong communication skills and ability to work effectively with multiple teams and developers.
Activision Central Technology (CT) is a group of engineers that…"
12,"Full Stack Developer, Junior",Booz Allen Hamilton,"El Segundo, CA",,"Leverage the full software development life cycle (SDLC) and DevOps pipeline to drive rapid, quality delivery of functionality to the client at the speed of…"
13,Software Developer,ChromoLogic,"Monrovia, CA 91016",,This technology is currently being deployed at Fortune 100 companies as well as Governmental Organizations in order to meet regulatory demands by the FDA and…
14,Software Developer,Envista Holdings,"Brea, CA",,"A minimum of 3 years’ experience in AWS services, automation, DevOps, bash / python programming.
Spark™ Clear Aligner System is designed to meet the needs of…"
15,Software Intern,Keysight Technologies,"Calabasas, CA",,"At Keysight we develop hardware and software for designing and testing all the newest networking devices.
As an intern, you will be part of a team looking into…"
16,Remote Fullstack Developer 1 Year Contract,Recruiting for Good,"Los Angeles, CA",,"Must have both Python and Ruby experience (looking for 7 years of paid experience in the US with companies).
As a Software Engineer you will work on our client…"
17,Full Stack Engineer,Meredith Corporation,"Los Angeles, CA",,"Work with UX designers, mobile developers, and web developers to implement back-end services for web and mobile applications.
Assist with writing Alexa skills."
18,Software Developer,Uniroom,"Pasadena, CA 91105 (South area)",,Participate in code and process s reviews; coordinate with other developers and external vendors to execute on weekly algorithm and performance goals;
19,Web Development Internship,"Operating Company ACTIVISION PUBLISHING, INC","Santa Monica, CA",,"Participate in the design and code review process.
Must be pursuing a bachelors, masters, or PhD in a computer science related field and graduating December…"
20,"Animation Studios - Front-End UI Design Intern, Summer 2021",Walt Disney Animation Studios,"Burbank, CA",,"As a Walt Disney Animation Studios Technology Intern, you will have the unique opportunity to work directly with a Disney mentor as you explore all aspects of…"
21,Full Stack Developer,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Mentor and assist with training junior developers.
Experience mentoring and/or training junior developers.
Evaluate client business challenges and work with the…"
22,Application Developer,California Association of Realtors,"Los Angeles, CA",,"Assist in the definition of application requirements by analyzing user requirements, prototyping system features and functionality."
