,name,cat_in,street,business_city,address_locality,address_region,telephone
0,Weisbord Jeffrey Real Estate Broker,"Real Estate Brokers in Upper West Side, New York",498 W End Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 496-6042
1,Alan Tam Real Estate Broker,"Real Estate Buyer Brokers in Lower East Side, New York",37 Orchard St,"Lower East Side
New York,
            NY",New York,NY,(212) 966-9858
2,Sandy Beck Lic Real Estate Broker,"Real Estate Consultants & Research Services in Midtown, New York",420 Madison Ave Rm 1106,"Midtown
New York,
            NY",New York,NY,(212) 925-0205
3,MORRISON LEROY W REAL ESTATE BROKER,"Real Estate Agents and Managers in Harlem, New York",167 W 145Th St Frnt 2,"Harlem
New York,
            NY",New York,NY,(212) 368-0600
4,Milton Gumowitz Mortgage Broker,"Real Estate Agents and Managers in Garment District, New York",421 7th Ave,"Garment District
New York,
            NY",New York,NY,(212) 564-7250
5,WIERBOWSKI REGINA A LICENSED RL EST BROKER,"Offices of Real Estate Agents and Brokers in Tribeca, New York",261 Broadway,"Tribeca
New York,
            NY",New York,NY,(212) 608-3240
6,Continental Broker,"Aa (Alcoholics Anonymous) in Midtown, New York",230 Park Ave,"Midtown
New York,
            NY",New York,NY,(646) 205-5800
7,Jose Broker,"Aa (Alcoholics Anonymous) in Hamilton Heights, New York",3592 Broadway,"Hamilton Heights
New York,
            NY",New York,NY,(212) 283-1721
8,Broker Heaven NY Inc,"Real Estate Consultants & Research Services in New York, NY",333 Park Ave S Apt 5B,"New York,
            NY",New York,NY,(646) 476-2741
9,Car Lease Broker NY,"Passenger Car Leasing in New York, NY",312 5th Avenue,"New York,
            NY",New York,NY,(347) 619-0080
10,Continental Broker -Dealer Corp,"Stock & Bond Brokers & Dealers in Midtown, New York",230 Park Ave,"Midtown
New York,
            NY",New York,NY,(646) 227-0761
11,Hello Ticket Broker,"Theater & Sport Ticket Agencies in Chelsea, New York",151 W 25th St Rm 1200,"Chelsea
New York,
            NY",New York,NY,(212) 691-1771
12,Car Lease Broker,"Adult Care Services in Upper West Side, New York",251 W 70th St,"Upper West Side
New York,
            NY",New York,NY,(646) 386-2340
13,Car Broker New York,"Auto & Truck Brokers in Lower East Side, New York",55 Columbia Street,"Lower East Side
New York,
            NY",New York,NY,(347) 821-4650
14,Manhattan Pawn Broker,"Insurance Carriers in Hamilton Heights, New York",3570 Broadway,"Hamilton Heights
New York,
            NY",New York,NY,(212) 368-1338
15,Turn Key Broker,"Computer Software Service in Lower East Side, New York",301 Grand St,"Lower East Side
New York,
            NY",New York,NY,(646) 626-6277
16,Car Broker New York,"Passenger Car Leasing in New York, NY",55 Columbia Street,"New York,
            NY",New York,NY,(347) 821-4650
17,Buechler Paul J Broker,"Business Management Consultants in Midtown, New York",10 E 59th St,"Midtown
New York,
            NY",New York,NY,(212) 751-4500
18,Lamb Lawton S Broker,"Professional Services in Financial District, New York",57 Broadway,"Financial District
New York,
            NY",New York,NY,(212) 269-7763
19,Gramercy Pawn Broker Inc,"Insurance Carriers in New York, NY",318 3Rd Ave,"New York,
            NY",New York,NY,(212) 473-6170
20,J Broker Global,"Financial Services in Financial District, New York",41 Broadway,"Financial District
New York,
            NY",New York,NY,(212) 771-1010
21,Transit Broker llc,"Bus Line Ticket Agencies in Gramercy, New York",153 E 32nd St Apt 11d,"Gramercy
New York,
            NY",New York,NY,(212) 420-1222
22,Domain Name Broker llc,"Stock & Bond Brokers & Dealers in Murray Hill, New York",100 Park Ave,"Murray Hill
New York,
            NY",New York,NY,(212) 880-6479
23,Car Lease Broker NY,"Automobile Rental & Leasing in Garment District, New York",312 5th Avenue,"Garment District
New York,
            NY",New York,NY,(347) 619-0080
24,Birdoff Charles & CO,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",512 e 81st St Apt 1w,"Upper East Side
New York,
            NY",New York,NY,(212) 628-2600
25,Harlem Congregations for Community Improvement Inc,"Offices of Real Estate Agents and Brokers in Harlem, New York",2854 Frederick Douglass Blvd,"Harlem
New York,
            NY",New York,NY,(212) 283-1377
26,State of New York,"Offices of Real Estate Agents and Brokers in Harlem, New York",159 E 125Th St,"Harlem
New York,
            NY",New York,NY,(212) 416-8123
27,City of New York - Dept of Finance,"Offices of Real Estate Agents and Brokers in Chelsea, New York",209 Joralemon St,"Chelsea
New York,
            NY",New York,NY,(212) 504-4080
28,City of New York - Dept of Citywide Administrative Services,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St Rm 2208,"Lower East Side
New York,
            NY",New York,NY,(212) 669-4241
29,Port Authority of New York & New Jersey,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",8 Avenue At 41 St,"Murray Hill
New York,
            NY",New York,NY,(212) 435-8881
30,City of New York - Dept of Finance,"Offices of Real Estate Agents and Brokers in Chelsea, New York",209 Joralemon St,"Chelsea
New York,
            NY",New York,NY,(212) 504-4039
31,Port Authority of New York & New Jersey,"Offices of Real Estate Agents and Brokers in Chelsea, New York",8 Avenue At 41,"Chelsea
New York,
            NY",New York,NY,(212) 435-8881
32,State of New York,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",633 3Rd Ave Frnt 2,"Murray Hill
New York,
            NY",New York,NY,(212) 681-4482
33,New York University,"Offices of Real Estate Agents and Brokers in Garment District, New York",11 W 42nd St Fl 4,"Garment District
New York,
            NY",New York,NY,(212) 790-1300
34,Port Authority of New York & New Jersey,"Offices of Real Estate Agents and Brokers in New York, NY",8 Avenue At 41 St,"New York,
            NY",New York,NY,(212) 435-8347
35,State of New York,"Offices of Real Estate Agents and Brokers in Chelsea, New York",Broadway,"Chelsea
New York,
            NY",New York,NY,(212) 416-8123
36,Port Authority of New York & New Jersey,"Offices of Real Estate Agents and Brokers in Chelsea, New York",8 Avenue At 41,"Chelsea
New York,
            NY",New York,NY,(212) 435-8347
37,State of New York,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",633 3Rd Ave Frnt 2,"Murray Hill
New York,
            NY",New York,NY,(212) 681-4482
38,Port Authority of New York & New Jersey,"Offices of Real Estate Agents and Brokers in Chelsea, New York",1 Path Plaza Jersey City NJ,"Chelsea
New York,
            NY",New York,NY,(212) 435-8347
39,City of New York,"Offices of Real Estate Agents and Brokers in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 802-5490
40,City of New York - Dept of Finance,"Offices of Real Estate Agents and Brokers in Chelsea, New York",209 Joralemon St,"Chelsea
New York,
            NY",New York,NY,(212) 504-4080
41,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St Rm 2208,"Lower East Side
New York,
            NY",New York,NY,(212) 669-8888
42,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-7232
43,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-4233
44,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-7232
45,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-8888
46,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-4233
47,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St Rm 2208,"Lower East Side
New York,
            NY",New York,NY,(212) 669-4233
48,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St,"Lower East Side
New York,
            NY",New York,NY,(212) 669-8888
49,City of New York,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",1 Centre St Rm 2208,"Lower East Side
New York,
            NY",New York,NY,(212) 669-7232
50,Lentini Real Estate,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",122 E 42nd St # 1700,"Murray Hill
New York,
            NY",New York,NY,(212) 472-1607
51,Ge Company,"Other Electrical Products in Midtown, New York",280 Park Ave Fl 8E,"Midtown
New York,
            NY",New York,NY,(212) 850-5800
52,Port Authority of New York & New Jersey,"Transportation Programs Ports Ships & Boats in Chelsea, New York",1 Path Plaza Jersey City NJ,"Chelsea
New York,
            NY",New York,NY,(212) 435-8881
53,City of New York,"City & County Government in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 669-7232
54,City of New York,"City & County Government in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 669-4241
55,Ge Company,"Other Electrical Products in Midtown, New York",280 Park Ave Fl 8E,"Midtown
New York,
            NY",New York,NY,(212) 850-5800
56,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-9656
57,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4241
58,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4273
59,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4273
60,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4241
61,State of New York,"State Government in Tribeca, New York",75 Varick St,"Tribeca
New York,
            NY",New York,NY,(212) 416-8123
62,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-3544
63,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-3544
64,City of New York,"City & County Government in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 504-4039
65,City of New York - The City University of NY,"City & County Government in Chelsea, New York",209 Joralemon St,"Chelsea
New York,
            NY",New York,NY,(646) 660-6950
66,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4212
67,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-4241
68,City of New York,"City & County Government in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 504-4080
69,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-3544
70,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-4212
71,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-4241
72,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-9656
73,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-9656
74,United States Government,"Federal Government in Soho, New York",201 Varick St,"Soho
New York,
            NY",New York,NY,(212) 264-3544
75,City of New York,"City & County Government in Tribeca, New York",31 Chambers St,"Tribeca
New York,
            NY",New York,NY,(212) 669-8888
76,United States Government,"Federal Government in Lower East Side, New York",500 Pearl St,"Lower East Side
New York,
            NY",New York,NY,(212) 264-9656
77,Mountbrook Usa llc,"Offices of Real Estate Agents and Brokers in Soho, New York",143 Grand St Apt 4,"Soho
New York,
            NY",New York,NY,(212) 334-3034
78,Sealand Realty Corp,"Offices of Real Estate Agents and Brokers in Chelsea, New York",17 W 20th St,"Chelsea
New York,
            NY",New York,NY,(212) 675-0807
79,Sage Realty Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",767 3Rd Ave Lbby 1,"Midtown
New York,
            NY",New York,NY,(212) 371-7767
80,West,"Offices of Real Estate Agents and Brokers in Garment District, New York",109 W 38th St,"Garment District
New York,
            NY",New York,NY,(212) 399-3514
81,Trump Tower,"Offices of Real Estate Agents and Brokers in Midtown, New York",725 5th Ave FL 20,"Midtown
New York,
            NY",New York,NY,(212) 308-8802
82,Tudor City Realty,"Offices of Real Estate Agents and Brokers in Tribeca, New York",303 Greenwich St,"Tribeca
New York,
            NY",New York,NY,(212) 842-0887
83,Glenwood Managment Corp,"Real Estate Types of Property Apartments & Residential in Upper East Side, New York",500 E 77 Bsmt,"Upper East Side
New York,
            NY",New York,NY,(212) 535-0500
84,Metropolitan Reality llc,"Offices of Real Estate Agents and Brokers in Harlem, New York",230 W 111th St,"Harlem
New York,
            NY",New York,NY,(212) 222-5281
85,Bradhurst Carriage House llc,"Offices of Real Estate Agents and Brokers in Hamilton Heights, New York",456 W 146th St,"Hamilton Heights
New York,
            NY",New York,NY,(212) 694-6110
86,Ibus Usa,"Offices of Real Estate Agents and Brokers in New York, NY",355 Lexington Ave FL 8,"New York,
            NY",New York,NY,(212) 682-1355
87,Ludlow Industrial Realties,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",60 e 42nd St,"Murray Hill
New York,
            NY",New York,NY,(212) 697-2112
88,Crg Properties llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",1330 Avenue of the Americas,"Midtown
New York,
            NY",New York,NY,(212) 582-6688
89,Citi Spaces,"Real Property Lessors, Nec in Upper East Side, New York",1343 2nd Ave,"Upper East Side
New York,
            NY",New York,NY,(212) 861-9400
90,F G h Investment Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",250 W 57th St Ste 1931,"Midtown
New York,
            NY",New York,NY,(212) 759-0400
91,Treuhaft & Zakarin,"Offices of Real Estate Agents and Brokers in Gramercy, New York",347 5th Ave,"Gramercy
New York,
            NY",New York,NY,(212) 725-6418
